"","new","c","hc_ward_cut"
"3656","A_M1040MF02_2S3RNA 9","106","2"
"3657","A_M1040MF02_3S1RNA 1","102","1"
"3658","A_M1040MF02_3S1RNA 10","203","1"
"3659","A_M1040MF02_3S1RNA 11","203","1"
"3660","A_M1040MF02_3S1RNA 12","203","1"
"3661","A_M1040MF02_3S1RNA 13","203","1"
"3662","A_M1040MF02_3S1RNA 14","204","1"
"3663","A_M1040MF02_3S1RNA 15","205","1"
"3664","A_M1040MF02_3S1RNA 16","205","1"
"3665","A_M1040MF02_3S1RNA 17","205","1"
"3666","A_M1040MF02_3S1RNA 18","206","2"
"3667","A_M1040MF02_3S1RNA 19","304","2"
"3668","A_M1040MF02_3S1RNA 2","102","2"
"3669","A_M1040MF02_3S1RNA 20","304","2"
"3670","A_M1040MF02_3S1RNA 21","304","2"
"3671","A_M1040MF02_3S1RNA 22","304","2"
"3672","A_M1040MF02_3S1RNA 23","305","2"
"3673","A_M1040MF02_3S1RNA 24","306","2"
"3674","A_M1040MF02_3S1RNA 25","306","1"
"3675","A_M1040MF02_3S1RNA 26","308","1"
"3676","A_M1040MF02_3S1RNA 27","308","1"
"3677","A_M1040MF02_3S1RNA 28","311","1"
"3678","A_M1040MF02_3S1RNA 29","311","2"
"3679","A_M1040MF02_3S1RNA 3","103","1"
"3680","A_M1040MF02_3S1RNA 30","311","1"
"3681","A_M1040MF02_3S1RNA 31","311","1"
"3682","A_M1040MF02_3S1RNA 32","311","1"
"3683","A_M1040MF02_3S1RNA 33","311","1"
"3684","A_M1040MF02_3S1RNA 34","311","2"
"3685","A_M1040MF02_3S1RNA 35","311","2"
"3686","A_M1040MF02_3S1RNA 36","311","2"
"3687","A_M1040MF02_3S1RNA 37","311","2"
"3688","A_M1040MF02_3S1RNA 4","103","2"
"3689","A_M1040MF02_3S1RNA 5","104","2"
"3690","A_M1040MF02_3S1RNA 6","105","2"
"3691","A_M1040MF02_3S1RNA 7","106","2"
"3692","A_M1040MF02_3S1RNA 8","106","2"
"3693","A_M1040MF02_3S1RNA 9","200.995","2"
"3694","A_M1041MF03_1S3RNA 1","111","1"
"3695","A_M1041MF03_1S3RNA 10","106","1"
"3696","A_M1041MF03_1S3RNA 11","201","1"
"3697","A_M1041MF03_1S3RNA 12","203","1"
"3698","A_M1041MF03_1S3RNA 13","203","1"
"3699","A_M1041MF03_1S3RNA 14","203","1"
"3700","A_M1041MF03_1S3RNA 15","203","1"
"3701","A_M1041MF03_1S3RNA 16","204","1"
"3702","A_M1041MF03_1S3RNA 17","205","1"
"3703","A_M1041MF03_1S3RNA 18","205","1"
"3704","A_M1041MF03_1S3RNA 19","205","1"
"3705","A_M1041MF03_1S3RNA 2","111","2"
"3706","A_M1041MF03_1S3RNA 20","206","2"
"3707","A_M1041MF03_1S3RNA 21","303","2"
"3708","A_M1041MF03_1S3RNA 22","304","2"
"3709","A_M1041MF03_1S3RNA 23","304","2"
"3710","A_M1041MF03_1S3RNA 24","304","2"
"3711","A_M1041MF03_1S3RNA 25","305","2"
"3712","A_M1041MF03_1S3RNA 26","306","2"
"3713","A_M1041MF03_1S3RNA 27","306","1"
"3714","A_M1041MF03_1S3RNA 28","307","2"
"3715","A_M1041MF03_1S3RNA 29","307","1"
"3716","A_M1041MF03_1S3RNA 3","105","2"
"3717","A_M1041MF03_1S3RNA 30","311","1"
"3718","A_M1041MF03_1S3RNA 31","311","1"
"3719","A_M1041MF03_1S3RNA 32","311","1"
"3720","A_M1041MF03_1S3RNA 33","311","1"
"3721","A_M1041MF03_1S3RNA 34","311","1"
"3722","A_M1041MF03_1S3RNA 35","311","2"
"3723","A_M1041MF03_1S3RNA 36","311","2"
"3724","A_M1041MF03_1S3RNA 37","311","2"
"3725","A_M1041MF03_1S3RNA 38","311","2"
"3726","A_M1041MF03_1S3RNA 39","311","2"
"3727","A_M1041MF03_1S3RNA 4","102","2"
"3728","A_M1041MF03_1S3RNA 5","102","2"
"3729","A_M1041MF03_1S3RNA 6","102","2"
"3730","A_M1041MF03_1S3RNA 7","103","2"
"3731","A_M1041MF03_1S3RNA 8","103","2"
"3732","A_M1041MF03_1S3RNA 9","106","2"
"3733","A_M1041MF03_2S2RNA 1","111","1"
"3734","A_M1041MF03_2S2RNA 10","106","1"
"3735","A_M1041MF03_2S2RNA 11","202","1"
"3736","A_M1041MF03_2S2RNA 12","203","1"
"3737","A_M1041MF03_2S2RNA 13","203","1"
"3738","A_M1041MF03_2S2RNA 14","203","1"
"3739","A_M1041MF03_2S2RNA 15","203","1"
"3740","A_M1041MF03_2S2RNA 16","204","1"
"3741","A_M1041MF03_2S2RNA 17","205","1"
"3742","A_M1041MF03_2S2RNA 18","205","1"
"3743","A_M1041MF03_2S2RNA 19","205","1"
"3744","A_M1041MF03_2S2RNA 2","111","2"
"3745","A_M1041MF03_2S2RNA 20","206","2"
"3746","A_M1041MF03_2S2RNA 21","303","2"
"3747","A_M1041MF03_2S2RNA 22","304","2"
"3748","A_M1041MF03_2S2RNA 23","304","2"
"3749","A_M1041MF03_2S2RNA 24","304","2"
"3750","A_M1041MF03_2S2RNA 25","305","2"
"3751","A_M1041MF03_2S2RNA 26","306","2"
"3752","A_M1041MF03_2S2RNA 27","306","1"
"3753","A_M1041MF03_2S2RNA 28","308","2"
"3754","A_M1041MF03_2S2RNA 29","308","1"
"3755","A_M1041MF03_2S2RNA 3","111","2"
"3756","A_M1041MF03_2S2RNA 30","309","2"
"3757","A_M1041MF03_2S2RNA 31","311","1"
"3758","A_M1041MF03_2S2RNA 32","311","1"
"3759","A_M1041MF03_2S2RNA 33","311","1"
"3760","A_M1041MF03_2S2RNA 34","311","1"
"3761","A_M1041MF03_2S2RNA 35","311","1"
"3762","A_M1041MF03_2S2RNA 36","311","1"
"3763","A_M1041MF03_2S2RNA 37","311","2"
"3764","A_M1041MF03_2S2RNA 38","311","2"
"3765","A_M1041MF03_2S2RNA 39","311","2"
"3766","A_M1041MF03_2S2RNA 4","103","2"
"3767","A_M1041MF03_2S2RNA 40","311","2"
"3768","A_M1041MF03_2S2RNA 5","102","2"
"3769","A_M1041MF03_2S2RNA 6","105","2"
"3770","A_M1041MF03_2S2RNA 7","105","2"
"3771","A_M1041MF03_2S2RNA 8","104","2"
"3772","A_M1041MF03_2S2RNA 9","106","1"
"3773","A_M1041MF03_3S1RNA 1","102","1"
"3774","A_M1041MF03_3S1RNA 10","202","1"
"3775","A_M1041MF03_3S1RNA 11","203","1"
"3776","A_M1041MF03_3S1RNA 12","203","1"
"3777","A_M1041MF03_3S1RNA 13","203","1"
"3778","A_M1041MF03_3S1RNA 14","204","1"
"3779","A_M1041MF03_3S1RNA 15","205","1"
"3780","A_M1041MF03_3S1RNA 16","205","1"
"3781","A_M1041MF03_3S1RNA 17","205","1"
"3782","A_M1041MF03_3S1RNA 18","206","2"
"3783","A_M1041MF03_3S1RNA 19","303","2"
"3784","A_M1041MF03_3S1RNA 2","102","2"
"3785","A_M1041MF03_3S1RNA 20","304","2"
"3786","A_M1041MF03_3S1RNA 21","304","2"
"3787","A_M1041MF03_3S1RNA 22","304","2"
"3788","A_M1041MF03_3S1RNA 23","305","2"
"3789","A_M1041MF03_3S1RNA 24","306","2"
"3790","A_M1041MF03_3S1RNA 25","306","1"
"3791","A_M1041MF03_3S1RNA 26","308","2"
"3792","A_M1041MF03_3S1RNA 27","308","1"
"3793","A_M1041MF03_3S1RNA 28","311","1"
"3794","A_M1041MF03_3S1RNA 29","311","2"
"3795","A_M1041MF03_3S1RNA 3","103","2"
"3796","A_M1041MF03_3S1RNA 30","311","1"
"3797","A_M1041MF03_3S1RNA 31","311","1"
"3798","A_M1041MF03_3S1RNA 32","311","1"
"3799","A_M1041MF03_3S1RNA 33","311","1"
"3800","A_M1041MF03_3S1RNA 34","311","2"
"3801","A_M1041MF03_3S1RNA 35","311","2"
"3802","A_M1041MF03_3S1RNA 36","311","2"
"3803","A_M1041MF03_3S1RNA 37","311","2"
"3804","A_M1041MF03_3S1RNA 38","311","2"
"3805","A_M1041MF03_3S1RNA 4","103","2"
"3806","A_M1041MF03_3S1RNA 5","104","2"
"3807","A_M1041MF03_3S1RNA 6","104","2"
"3808","A_M1041MF03_3S1RNA 7","106","2"
"3809","A_M1041MF03_3S1RNA 8","106","2"
"3810","A_M1041MF03_3S1RNA 9","106","1"
"3811","A_M1042MF03_1S3RNA 1","111","1"
"3812","A_M1042MF03_1S3RNA 10","106","1"
"3813","A_M1042MF03_1S3RNA 11","202","1"
"3814","A_M1042MF03_1S3RNA 12","203","1"
"3815","A_M1042MF03_1S3RNA 13","203","1"
"3816","A_M1042MF03_1S3RNA 14","203","1"
"3817","A_M1042MF03_1S3RNA 15","204","1"
"3818","A_M1042MF03_1S3RNA 16","205","1"
"3819","A_M1042MF03_1S3RNA 17","205","1"
"3820","A_M1042MF03_1S3RNA 18","205","1"
"3821","A_M1042MF03_1S3RNA 19","206","1"
"3822","A_M1042MF03_1S3RNA 2","111","2"
"3823","A_M1042MF03_1S3RNA 20","303","2"
"3824","A_M1042MF03_1S3RNA 21","304","2"
"3825","A_M1042MF03_1S3RNA 22","304","2"
"3826","A_M1042MF03_1S3RNA 23","304","2"
"3827","A_M1042MF03_1S3RNA 24","305","2"
"3828","A_M1042MF03_1S3RNA 25","306","2"
"3829","A_M1042MF03_1S3RNA 27","307","1"
"3830","A_M1042MF03_1S3RNA 28","311","1"
"3831","A_M1042MF03_1S3RNA 29","311","1"
"3832","A_M1042MF03_1S3RNA 3","105","2"
"3833","A_M1042MF03_1S3RNA 30","311","1"
"3834","A_M1042MF03_1S3RNA 31","311","2"
"3835","A_M1042MF03_1S3RNA 32","311","2"
"3836","A_M1042MF03_1S3RNA 33","311","2"
"3837","A_M1042MF03_1S3RNA 34","311","2"
"3838","A_M1042MF03_1S3RNA 35","311","2"
"3839","A_M1042MF03_1S3RNA 36","311","2"
"3840","A_M1042MF03_1S3RNA 4","102","2"
"3841","A_M1042MF03_1S3RNA 5","102","2"
"3842","A_M1042MF03_1S3RNA 6","102","2"
"3843","A_M1042MF03_1S3RNA 7","103","2"
"3844","A_M1042MF03_1S3RNA 8","104","2"
"3845","A_M1042MF03_1S3RNA 9","106","2"
"3846","A_M1045MF05_1S2RNA 1","101","1"
"3847","A_M1045MF05_1S2RNA 10","105","1"
"3848","A_M1045MF05_1S2RNA 11","106","1"
"3849","A_M1045MF05_1S2RNA 12","106","1"
"3850","A_M1045MF05_1S2RNA 13","106","1"
"3851","A_M1045MF05_1S2RNA 14","201","1"
"3852","A_M1045MF05_1S2RNA 15","202","1"
"3853","A_M1045MF05_1S2RNA 16","203","1"
"3854","A_M1045MF05_1S2RNA 17","203","1"
"3855","A_M1045MF05_1S2RNA 18","203","1"
"3856","A_M1045MF05_1S2RNA 19","203","1"
"3857","A_M1045MF05_1S2RNA 2","111","1"
"3858","A_M1045MF05_1S2RNA 20","203","1"
"3859","A_M1045MF05_1S2RNA 21","204","1"
"3860","A_M1045MF05_1S2RNA 22","205","1"
"3861","A_M1045MF05_1S2RNA 23","205","1"
"3862","A_M1045MF05_1S2RNA 24","205","1"
"3863","A_M1045MF05_1S2RNA 25","205","1"
"3864","A_M1045MF05_1S2RNA 26","206","1"
"3865","A_M1045MF05_1S2RNA 27","301","1"
"3866","A_M1045MF05_1S2RNA 28","304","1"
"3867","A_M1045MF05_1S2RNA 29","304","2"
"3868","A_M1045MF05_1S2RNA 3","111","2"
"3869","A_M1045MF05_1S2RNA 30","304","1"
"3870","A_M1045MF05_1S2RNA 31","304","1"
"3871","A_M1045MF05_1S2RNA 32","304","1"
"3872","A_M1045MF05_1S2RNA 33","305","1"
"3873","A_M1045MF05_1S2RNA 34","306","1"
"3874","A_M1045MF05_1S2RNA 35","306","1"
"3875","A_M1045MF05_1S2RNA 36","306","1"
"3876","A_M1045MF05_1S2RNA 37","307","1"
"3877","A_M1045MF05_1S2RNA 38","308","1"
"3878","A_M1045MF05_1S2RNA 39","308","1"
"3879","A_M1045MF05_1S2RNA 4","111","1"
"3880","A_M1045MF05_1S2RNA 40","308","1"
"3881","A_M1045MF05_1S2RNA 41","311","1"
"3882","A_M1045MF05_1S2RNA 42","311","1"
"3883","A_M1045MF05_1S2RNA 43","311","1"
"3884","A_M1045MF05_1S2RNA 44","311","1"
"3885","A_M1045MF05_1S2RNA 45","311","1"
"3886","A_M1045MF05_1S2RNA 46","311","1"
"3887","A_M1045MF05_1S2RNA 47","311","2"
"3888","A_M1045MF05_1S2RNA 48","311","2"
"3889","A_M1045MF05_1S2RNA 49","311","2"
"3890","A_M1045MF05_1S2RNA 5","103","2"
"3891","A_M1045MF05_1S2RNA 50","311","2"
"3892","A_M1045MF05_1S2RNA 6","102","2"
"3893","A_M1045MF05_1S2RNA 7","102","1"
"3894","A_M1045MF05_1S2RNA 8","105","2"
"3895","A_M1045MF05_1S2RNA 9","105","2"
"3896","A_M1045MF05_2S3RNA 1","111","1"
"3897","A_M1045MF05_2S3RNA 10","103","1"
"3898","A_M1045MF05_2S3RNA 11","103","1"
"3899","A_M1045MF05_2S3RNA 12","104","1"
"3900","A_M1045MF05_2S3RNA 13","106","1"
"3901","A_M1045MF05_2S3RNA 14","106","1"
"3902","A_M1045MF05_2S3RNA 15","201","1"
"3903","A_M1045MF05_2S3RNA 16","202","1"
"3904","A_M1045MF05_2S3RNA 17","203","1"
"3905","A_M1045MF05_2S3RNA 18","203","1"
"3906","A_M1045MF05_2S3RNA 19","203","1"
"3907","A_M1045MF05_2S3RNA 2","111","1"
"3908","A_M1045MF05_2S3RNA 20","203","1"
"3909","A_M1045MF05_2S3RNA 21","203","1"
"3910","A_M1045MF05_2S3RNA 22","204","1"
"3911","A_M1045MF05_2S3RNA 23","205","1"
"3912","A_M1045MF05_2S3RNA 24","205","1"
"3913","A_M1045MF05_2S3RNA 25","205","1"
"3914","A_M1045MF05_2S3RNA 26","205","1"
"3915","A_M1045MF05_2S3RNA 27","206","2"
"3916","A_M1045MF05_2S3RNA 28","301","1"
"3917","A_M1045MF05_2S3RNA 29","303","1"
"3918","A_M1045MF05_2S3RNA 3","111","2"
"3919","A_M1045MF05_2S3RNA 30","304","2"
"3920","A_M1045MF05_2S3RNA 31","304","1"
"3921","A_M1045MF05_2S3RNA 32","304","1"
"3922","A_M1045MF05_2S3RNA 33","304","1"
"3923","A_M1045MF05_2S3RNA 34","305","1"
"3924","A_M1045MF05_2S3RNA 35","306","1"
"3925","A_M1045MF05_2S3RNA 36","306","1"
"3926","A_M1045MF05_2S3RNA 37","306","1"
"3927","A_M1045MF05_2S3RNA 38","307","1"
"3928","A_M1045MF05_2S3RNA 39","311","1"
"3929","A_M1045MF05_2S3RNA 4","105","1"
"3930","A_M1045MF05_2S3RNA 40","311","1"
"3931","A_M1045MF05_2S3RNA 41","311","1"
"3932","A_M1045MF05_2S3RNA 42","311","1"
"3933","A_M1045MF05_2S3RNA 43","311","1"
"3934","A_M1045MF05_2S3RNA 44","311","2"
"3935","A_M1045MF05_2S3RNA 45","311","2"
"3936","A_M1045MF05_2S3RNA 46","311","2"
"3937","A_M1045MF05_2S3RNA 47","311","2"
"3938","A_M1045MF05_2S3RNA 48","311","2"
"3939","A_M1045MF05_2S3RNA 5","102","2"
"3940","A_M1045MF05_2S3RNA 6","102","2"
"3941","A_M1045MF05_2S3RNA 7","102","2"
"3942","A_M1045MF05_2S3RNA 8","102","2"
"3943","A_M1045MF05_2S3RNA 9","103","2"
"3944","A_M1045MF05_3S1RNA 1","102","1"
"3945","A_M1045MF05_3S1RNA 10","106","1"
"3946","A_M1045MF05_3S1RNA 11","106","1"
"3947","A_M1045MF05_3S1RNA 12","202","1"
"3948","A_M1045MF05_3S1RNA 13","203","1"
"3949","A_M1045MF05_3S1RNA 14","203","1"
"3950","A_M1045MF05_3S1RNA 15","203","1"
"3951","A_M1045MF05_3S1RNA 16","203","1"
"3952","A_M1045MF05_3S1RNA 17","203","1"
"3953","A_M1045MF05_3S1RNA 18","204","1"
"3954","A_M1045MF05_3S1RNA 19","205","1"
"3955","A_M1045MF05_3S1RNA 2","102","1"
"3956","A_M1045MF05_3S1RNA 20","205","1"
"3957","A_M1045MF05_3S1RNA 21","205","1"
"3958","A_M1045MF05_3S1RNA 22","205","1"
"3959","A_M1045MF05_3S1RNA 23","206","1"
"3960","A_M1045MF05_3S1RNA 24","303","1"
"3961","A_M1045MF05_3S1RNA 25","304","1"
"3962","A_M1045MF05_3S1RNA 26","304","2"
"3963","A_M1045MF05_3S1RNA 27","304","2"
"3964","A_M1045MF05_3S1RNA 28","304","2"
"3965","A_M1045MF05_3S1RNA 29","305","2"
"3966","A_M1045MF05_3S1RNA 3","103","1"
"3967","A_M1045MF05_3S1RNA 30","306","1"
"3968","A_M1045MF05_3S1RNA 31","306","1"
"3969","A_M1045MF05_3S1RNA 32","308","1"
"3970","A_M1045MF05_3S1RNA 33","308","2"
"3971","A_M1045MF05_3S1RNA 34","309","1"
"3972","A_M1045MF05_3S1RNA 35","311","1"
"3973","A_M1045MF05_3S1RNA 36","311","1"
"3974","A_M1045MF05_3S1RNA 37","311","1"
"3975","A_M1045MF05_3S1RNA 38","311","1"
"3976","A_M1045MF05_3S1RNA 39","311","1"
"3977","A_M1045MF05_3S1RNA 4","103","1"
"3978","A_M1045MF05_3S1RNA 40","311","2"
"3979","A_M1045MF05_3S1RNA 41","311","2"
"3980","A_M1045MF05_3S1RNA 42","311","2"
"3981","A_M1045MF05_3S1RNA 43","311","2"
"3982","A_M1045MF05_3S1RNA 44","311","2"
"3983","A_M1045MF05_3S1RNA 5","103","2"
"3984","A_M1045MF05_3S1RNA 6","104","2"
"3985","A_M1045MF05_3S1RNA 7","104","2"
"3986","A_M1045MF05_3S1RNA 8","105","2"
"3987","A_M1045MF05_3S1RNA 9","106","1"
"3988","A_M1046MF05_1S2RNA 1","101","1"
"3989","A_M1046MF05_1S2RNA 10","202","1"
"3990","A_M1046MF05_1S2RNA 11","203","1"
"3991","A_M1046MF05_1S2RNA 12","203","1"
"3992","A_M1046MF05_1S2RNA 13","203","1"
"3993","A_M1046MF05_1S2RNA 14","203","1"
"3994","A_M1046MF05_1S2RNA 15","205","1"
"3995","A_M1046MF05_1S2RNA 16","205","1"
"3996","A_M1046MF05_1S2RNA 17","205","1"
"3997","A_M1046MF05_1S2RNA 18","205","1"
"3998","A_M1046MF05_1S2RNA 19","206","2"
"3999","A_M1046MF05_1S2RNA 2","111","2"
"4000","A_M1046MF05_1S2RNA 20","303","2"
"4001","A_M1046MF05_1S2RNA 21","304","2"
"4002","A_M1046MF05_1S2RNA 22","304","2"
"4003","A_M1046MF05_1S2RNA 23","304","2"
"4004","A_M1046MF05_1S2RNA 24","304","2"
"4005","A_M1046MF05_1S2RNA 25","305","2"
"4006","A_M1046MF05_1S2RNA 26","306","1"
"4007","A_M1046MF05_1S2RNA 27","306","2"
"4008","A_M1046MF05_1S2RNA 28","306","1"
"4009","A_M1046MF05_1S2RNA 29","308","1"
"4010","A_M1046MF05_1S2RNA 3","111","2"
"4011","A_M1046MF05_1S2RNA 30","308","1"
"4012","A_M1046MF05_1S2RNA 31","308","1"
"4013","A_M1046MF05_1S2RNA 32","309","1"
"4014","A_M1046MF05_1S2RNA 33","311","1"
"4015","A_M1046MF05_1S2RNA 34","311","1"
"4016","A_M1046MF05_1S2RNA 35","311","1"
"4017","A_M1046MF05_1S2RNA 36","311","1"
"4018","A_M1046MF05_1S2RNA 37","311","1"
"4019","A_M1046MF05_1S2RNA 38","311","1"
"4020","A_M1046MF05_1S2RNA 39","311","2"
"4021","A_M1046MF05_1S2RNA 4","102","2"
"4022","A_M1046MF05_1S2RNA 40","311","2"
"4023","A_M1046MF05_1S2RNA 41","311","2"
"4024","A_M1046MF05_1S2RNA 42","311","2"
"4025","A_M1046MF05_1S2RNA 5","105","2"
"4026","A_M1046MF05_1S2RNA 6","105","2"
"4027","A_M1046MF05_1S2RNA 7","106","2"
"4028","A_M1046MF05_1S2RNA 8","106","2"
"4029","A_M1046MF05_1S2RNA 9","106","1"
"4030","A_M1046MF05_2S3RNA 1","111","1"
"4031","A_M1046MF05_2S3RNA 10","201","1"
"4032","A_M1046MF05_2S3RNA 11","202","1"
"4033","A_M1046MF05_2S3RNA 12","203","1"
"4034","A_M1046MF05_2S3RNA 13","203","1"
"4035","A_M1046MF05_2S3RNA 14","203","1"
"4036","A_M1046MF05_2S3RNA 15","203","1"
"4037","A_M1046MF05_2S3RNA 16","205","1"
"4038","A_M1046MF05_2S3RNA 17","205","1"
"4039","A_M1046MF05_2S3RNA 18","205","1"
"4040","A_M1046MF05_2S3RNA 19","205","1"
"4041","A_M1046MF05_2S3RNA 2","111","2"
"4042","A_M1046MF05_2S3RNA 20","206","2"
"4043","A_M1046MF05_2S3RNA 21","302","2"
"4044","A_M1046MF05_2S3RNA 22","304","2"
"4045","A_M1046MF05_2S3RNA 23","304","2"
"4046","A_M1046MF05_2S3RNA 24","304","2"
"4047","A_M1046MF05_2S3RNA 25","304","2"
"4048","A_M1046MF05_2S3RNA 26","305","2"
"4049","A_M1046MF05_2S3RNA 27","306","1"
"4050","A_M1046MF05_2S3RNA 28","306","1"
"4051","A_M1046MF05_2S3RNA 29","306","1"
"4052","A_M1046MF05_2S3RNA 3","105","2"
"4053","A_M1046MF05_2S3RNA 30","307","1"
"4054","A_M1046MF05_2S3RNA 31","307","1"
"4055","A_M1046MF05_2S3RNA 32","311","1"
"4056","A_M1046MF05_2S3RNA 33","311","1"
"4057","A_M1046MF05_2S3RNA 34","311","1"
"4058","A_M1046MF05_2S3RNA 35","311","1"
"4059","A_M1046MF05_2S3RNA 36","311","1"
"4060","A_M1046MF05_2S3RNA 37","311","1"
"4061","A_M1046MF05_2S3RNA 38","311","2"
"4062","A_M1046MF05_2S3RNA 39","311","2"
"4063","A_M1046MF05_2S3RNA 4","102","2"
"4064","A_M1046MF05_2S3RNA 40","311","2"
"4065","A_M1046MF05_2S3RNA 41","311","2"
"4066","A_M1046MF05_2S3RNA 5","102","2"
"4067","A_M1046MF05_2S3RNA 6","103","2"
"4068","A_M1046MF05_2S3RNA 7","103","2"
"4069","A_M1046MF05_2S3RNA 8","106","2"
"4070","A_M1046MF05_2S3RNA 9","106","2"
"4071","A_M1046MF05_3S1RNA 1","102","1"
"4072","A_M1046MF05_3S1RNA 10","203","1"
"4073","A_M1046MF05_3S1RNA 11","203","1"
"4074","A_M1046MF05_3S1RNA 12","203","1"
"4075","A_M1046MF05_3S1RNA 13","204","1"
"4076","A_M1046MF05_3S1RNA 14","205","1"
"4077","A_M1046MF05_3S1RNA 15","205","1"
"4078","A_M1046MF05_3S1RNA 16","205","1"
"4079","A_M1046MF05_3S1RNA 17","206","2"
"4080","A_M1046MF05_3S1RNA 18","302","2"
"4081","A_M1046MF05_3S1RNA 19","304","2"
"4082","A_M1046MF05_3S1RNA 2","102","2"
"4083","A_M1046MF05_3S1RNA 20","304","2"
"4084","A_M1046MF05_3S1RNA 21","304","2"
"4085","A_M1046MF05_3S1RNA 22","304","2"
"4086","A_M1046MF05_3S1RNA 23","306","2"
"4087","A_M1046MF05_3S1RNA 24","306","1"
"4088","A_M1046MF05_3S1RNA 25","306","1"
"4089","A_M1046MF05_3S1RNA 26","306","1"
"4090","A_M1046MF05_3S1RNA 27","308","1"
"4091","A_M1046MF05_3S1RNA 28","308","2"
"4092","A_M1046MF05_3S1RNA 29","308","1"
"4093","A_M1046MF05_3S1RNA 3","103","1"
"4094","A_M1046MF05_3S1RNA 30","311","1"
"4095","A_M1046MF05_3S1RNA 31","311","1"
"4096","A_M1046MF05_3S1RNA 32","311","1"
"4097","A_M1046MF05_3S1RNA 33","311","1"
"4098","A_M1046MF05_3S1RNA 34","311","1"
"4099","A_M1046MF05_3S1RNA 35","311","1"
"4100","A_M1046MF05_3S1RNA 36","311","2"
"4101","A_M1046MF05_3S1RNA 37","311","2"
"4102","A_M1046MF05_3S1RNA 38","311","2"
"4103","A_M1046MF05_3S1RNA 39","311","2"
"4104","A_M1046MF05_3S1RNA 4","104","2"
"4105","A_M1046MF05_3S1RNA 5","104","2"
"4106","A_M1046MF05_3S1RNA 6","106","2"
"4107","A_M1046MF05_3S1RNA 7","106","2"
"4108","A_M1046MF05_3S1RNA 8","202","2"
"4109","A_M1046MF05_3S1RNA 9","203","2"
"4110","A_M1047MF06_1S3RNA 1","111","1"
"4111","A_M1047MF06_1S3RNA 10","106","1"
"4112","A_M1047MF06_1S3RNA 11","106","1"
"4113","A_M1047MF06_1S3RNA 12","106","1"
"4114","A_M1047MF06_1S3RNA 13","202","1"
"4115","A_M1047MF06_1S3RNA 14","203","1"
"4116","A_M1047MF06_1S3RNA 15","203","1"
"4117","A_M1047MF06_1S3RNA 16","203","1"
"4118","A_M1047MF06_1S3RNA 17","203","1"
"4119","A_M1047MF06_1S3RNA 18","204","1"
"4120","A_M1047MF06_1S3RNA 19","205","1"
"4121","A_M1047MF06_1S3RNA 2","111","1"
"4122","A_M1047MF06_1S3RNA 20","205","1"
"4123","A_M1047MF06_1S3RNA 21","205","2"
"4124","A_M1047MF06_1S3RNA 22","206","2"
"4125","A_M1047MF06_1S3RNA 23","301","2"
"4126","A_M1047MF06_1S3RNA 24","303","2"
"4127","A_M1047MF06_1S3RNA 25","304","2"
"4128","A_M1047MF06_1S3RNA 26","304","2"
"4129","A_M1047MF06_1S3RNA 27","304","2"
"4130","A_M1047MF06_1S3RNA 28","304.5","2"
"4131","A_M1047MF06_1S3RNA 29","306","1"
"4132","A_M1047MF06_1S3RNA 3","111","1"
"4133","A_M1047MF06_1S3RNA 30","306","1"
"4134","A_M1047MF06_1S3RNA 31","306","1"
"4135","A_M1047MF06_1S3RNA 32","307","2"
"4136","A_M1047MF06_1S3RNA 33","307","1"
"4137","A_M1047MF06_1S3RNA 34","311","1"
"4138","A_M1047MF06_1S3RNA 35","311","1"
"4139","A_M1047MF06_1S3RNA 36","311","1"
"4140","A_M1047MF06_1S3RNA 37","311","1"
"4141","A_M1047MF06_1S3RNA 38","311","1"
"4142","A_M1047MF06_1S3RNA 39","311","1"
"4143","A_M1047MF06_1S3RNA 4","105","2"
"4144","A_M1047MF06_1S3RNA 40","311","2"
"4145","A_M1047MF06_1S3RNA 41","311","2"
"4146","A_M1047MF06_1S3RNA 42","311","2"
"4147","A_M1047MF06_1S3RNA 43","311","2"
"4148","A_M1047MF06_1S3RNA 5","102","2"
"4149","A_M1047MF06_1S3RNA 6","102","2"
"4150","A_M1047MF06_1S3RNA 7","102","2"
"4151","A_M1047MF06_1S3RNA 8","103","2"
"4152","A_M1047MF06_1S3RNA 9","104","2"
"4153","A_M1047MF06_2S2RNA 1","111","1"
"4154","A_M1047MF06_2S2RNA 10","106","1"
"4155","A_M1047MF06_2S2RNA 11","106","1"
"4156","A_M1047MF06_2S2RNA 12","202","1"
"4157","A_M1047MF06_2S2RNA 13","203","1"
"4158","A_M1047MF06_2S2RNA 14","203","1"
"4159","A_M1047MF06_2S2RNA 15","203","1"
"4160","A_M1047MF06_2S2RNA 16","203","1"
"4161","A_M1047MF06_2S2RNA 17","205","1"
"4162","A_M1047MF06_2S2RNA 18","205","1"
"4163","A_M1047MF06_2S2RNA 19","205","1"
"4164","A_M1047MF06_2S2RNA 2","111","2"
"4165","A_M1047MF06_2S2RNA 20","205","2"
"4166","A_M1047MF06_2S2RNA 21","206","2"
"4167","A_M1047MF06_2S2RNA 22","302","2"
"4168","A_M1047MF06_2S2RNA 23","304","2"
"4169","A_M1047MF06_2S2RNA 24","304","2"
"4170","A_M1047MF06_2S2RNA 25","304","2"
"4171","A_M1047MF06_2S2RNA 26","304","2"
"4172","A_M1047MF06_2S2RNA 27","305","2"
